Timestamp,Data
00:41.3,"Client 2: condition met"
00:42.3,"Client 2 data received: roll = 75.60, pitch = -5.45"
00:42.3,"Client 2: condition met"
00:43.3,"Client 2 data received: roll = 75.43, pitch = -5.32"
00:43.3,"Client 2: condition met"
00:44.2,"Client 1: angle 40 detected"
00:44.4,"Client 2 data received: roll = 74.12, pitch = -4.85"
00:44.4,"Client 2: condition met"
00:44.4,Chin Up COUNTED
00:44.4,Chin Up Count: 2
00:45.3,"Client 2 data received: roll = 75.40, pitch = -5.08"
00:45.3,"Client 2: condition met"
00:46.3,"Client 2 data received: roll = 75.10, pitch = -5.31"
00:46.3,"Client 2: condition met"
00:47.3,"Client 2 data received: roll = 75.84, pitch = -5.45"
00:47.3,"Client 2: condition met"
00:48.3,"Client 2 data received: roll = 75.25, pitch = -5.11"
00:48.3,"Client 2: condition met"
00:49.3,"Client 2 data received: roll = 75.74, pitch = -5.44"
00:49.3,"Client 2: condition met"
00:49.5,"Client 1: angle 40 detected"
00:50.3,"Client 2 data received: roll = 74.65, pitch = -4.97"
00:50.3,"Client 2: condition met"
00:50.3,Chin Up COUNTED
00:50.3,Chin Up Count: 3
00:51.3,"Client 2 data received: roll = 74.75, pitch = -5.28"
00:51.4,"Client 2: condition met"
00:52.4,"Client 2 data received: roll = 74.92, pitch = -5.56"
00:52.4,"Client 2: condition met"
00:53.3,"Client 2 data received: roll = 74.48, pitch = -5.37"
00:53.3,"Client 2: condition met"
00:54.3,"Client 2 data received: roll = 75.56, pitch = -5.16"
00:54.4,"Client 2: condition met"
00:54.5,"Client 1: angle 40 detected"
00:55.4,"Client 2 data received: roll = 73.28, pitch = -5.52"
00:55.4,"Client 2: condition met"
00:55.4,Chin Up COUNTED
00:55.4,Chin Up Count: 4
00:56.4,"Client 2 data received: roll = 74.90, pitch = -5.91"
00:56.4,"Client 2: condition met"
00:57.4,"Client 2 data received: roll = 74.64, pitch = -5.65"
00:57.4,"Client 2: condition met"
00:58.4,"Client 2 data received: roll = 74.21, pitch = -5.20"
00:58.4,"Client 2: condition met"
00:59.4,"Client 2 data received: roll = 75.19, pitch = -5.12"
00:59.4,"Client 2: condition met"
01:00.3,"Client 1: angle 40 detected"
01:00.4,"Client 2 data received: roll = 73.52, pitch = -5.14"
01:00.4,"Client 2: condition met"
01:00.4,Chin Up COUNTED
01:00.4,Chin Up Count: 5
01:01.4,"Client 2 data received: roll = 75.22, pitch = -6.57"
01:01.4,"Client 2: condition met"
01:02.4,"Client 2 data received: roll = 74.63, pitch = -5.39"
01:02.4,"Client 2: condition met"
01:03.4,"Client 2 data received: roll = 74.43, pitch = -4.94"
01:03.4,"Client 2: condition met"
01:04.4,"Client 2 data received: roll = 75.24, pitch = -4.79"
01:04.4,"Client 2: condition met"
01:05.4,"Client 2 data received: roll = 74.94, pitch = -5.61"
01:05.4,"Client 2: condition met"
01:05.9,"Client 1: angle 40 detected"
01:06.4,"Client 2 data received: roll = 72.84, pitch = -5.00"
01:06.4,"Client 2: condition met"
01:06.4,Chin Up COUNTED
01:06.4,Chin Up Count: 6
01:07.4,"Client 2 data received: roll = 74.52, pitch = -5.65"
01:07.4,"Client 2: condition met"
01:08.4,"Client 2 data received: roll = 74.67, pitch = -5.46"
01:08.4,"Client 2: condition met"
01:09.4,"Client 2 data received: roll = 74.55, pitch = -5.17"
01:09.4,"Client 2: condition met"
01:10.4,"Client 2 data received: roll = 74.67, pitch = -5.74"
01:10.4,"Client 2: condition met"
01:11.4,"Client 2 data received: roll = 74.44, pitch = -5.40"
01:11.4,"Client 2: condition met"
01:11.8,"Client 1: angle 40 detected"
01:12.4,"Client 2 data received: roll = 76.74, pitch = -6.40"
01:12.4,"Client 2: condition met"
01:12.4,Chin Up COUNTED
01:12.4,Chin Up Count: 7
01:13.4,"Client 2 data received: roll = 74.41, pitch = -5.71"
01:13.4,"Client 2: condition met"
01:14.4,"Client 2 data received: roll = 74.35, pitch = -5.37"
01:14.4,"Client 2: condition met"
01:16.4,"Client 2 data received: roll = 74.16, pitch = -5.41"
01:16.4,"Client 2: condition met"
01:17.4,"Client 2 data received: roll = 74.27, pitch = -5.54"
01:17.4,"Client 2: condition met"
01:17.9,"Client 1: angle 40 detected"
01:18.4,"Client 2 data received: roll = 74.70, pitch = -5.92"
01:18.4,"Client 2: condition met"
01:18.4,Chin Up COUNTED
01:18.4,Chin Up Count: 8
01:19.4,"Client 2 data received: roll = 74.37, pitch = -5.26"
01:19.4,"Client 2: condition met"
01:20.4,"Client 2 data received: roll = 75.30, pitch = -5.52"
01:20.4,"Client 2: condition met"
01:21.4,"Client 2 data received: roll = 74.89, pitch = -5.70"
01:21.4,"Client 2: condition met"
01:22.4,"Client 2 data received: roll = 74.60, pitch = -5.07"
01:22.4,"Client 2: condition met"
01:23.5,"Client 2 data received: roll = 73.51, pitch = -5.78"
01:23.5,"Client 2: condition met"
01:23.8,"Client 1: angle 40 detected"
01:24.4,"Client 2 data received: roll = 75.57, pitch = -5.48"
01:24.4,"Client 2: condition met"
01:24.4,Chin Up COUNTED
01:24.4,Chin Up Count: 9
01:25.5,"Client 2 data received: roll = 73.89, pitch = -5.52"
01:25.5,"Client 2: condition met"
01:26.5,"Client 2 data received: roll = 74.34, pitch = -4.97"
01:26.5,"Client 2: condition met"
01:27.5,"Client 2 data received: roll = 74.10, pitch = -5.33"
01:27.5,"Client 2: condition met"
01:28.4,"Client 2 data received: roll = 74.22, pitch = -5.61"
01:28.4,"Client 2: condition met"
01:29.3,"Client 1: angle 40 detected"
01:29.5,"Client 2 data received: roll = 74.02, pitch = -4.04"
01:29.5,"Client 2: condition met"
01:29.5,Chin Up COUNTED
01:29.5,Chin Up Count: 10
01:30.5,"Client 2 data received: roll = 74.12, pitch = -5.14"
01:30.5,"Client 2: condition met"
01:31.5,"Client 2 data received: roll = 74.30, pitch = -5.39"
01:31.5,"Client 2: condition met"
01:32.5,"Client 2 data received: roll = 73.93, pitch = -5.73"
01:32.5,"Client 2: condition met"
01:33.5,"Client 2 data received: roll = 74.48, pitch = -5.07"
01:33.5,"Client 2: condition met"
01:33.7,"Client 1: angle 40 detected"
01:33.8,"Waktu 1 menit telah berlalu"
01:33.8,TOTAL Chin-Up COUNTED: 10
01:33.8,TOTAL NOT COUNTED: 0
01:33.8,"Select Mode: 1 / 2"
01:33.8,"1. Pull-Up"
01:33.8,"2. Chin-Up"
03:59.1,"Mode selected: Chin-Up"
04:08.1,"Menerima data dari BLE clients..."
04:08.9,"Client 2 data received: roll = 66.78, pitch = -7.81"
04:08.9,"Client 2: condition met"
04:08.9,Chin Up COUNTED
04:08.9,Chin Up Count: 1
04:09.9,"Client 2 data received: roll = 69.47, pitch = -6.56"
04:09.9,"Client 2: condition met"
04:11.0,"Client 2 data received: roll = 69.98, pitch = -8.18"
04:11.0,"Client 2: condition met"
04:11.9,"Client 2 data received: roll = 68.48, pitch = -9.20"
04:11.9,"Client 2: condition met"
04:12.9,"Client 2 data received: roll = 67.29, pitch = -8.43"
04:13.0,"Client 2: condition met"
04:13.5,"Client 1: angle 40 detected"
04:14.0,"Client 2 data received: roll = 68.60, pitch = -8.47"
04:14.0,"Client 2: condition met"
04:14.0,Chin Up COUNTED
04:14.0,Chin Up Count: 2
04:15.0,"Client 2 data received: roll = 67.88, pitch = -7.27"
04:15.0,"Client 2: condition met"
04:16.0,"Client 2 data received: roll = 67.30, pitch = -7.48"
04:16.0,"Client 2: condition met"
04:16.9,"Client 1: angle 40 detected"
04:17.0,"Client 2 data received: roll = 68.17, pitch = -5.76"
04:17.0,"Client 2: condition met"
04:17.0,Chin Up COUNTED
04:17.0,Chin Up Count: 3
04:18.0,"Client 2 data received: roll = 69.22, pitch = -7.72"
04:18.0,"Client 2: condition met"
04:19.0,"Client 2 data received: roll = 67.64, pitch = -7.26"
04:19.0,"Client 2: condition met"
04:19.6,"Client 1: angle 40 detected"
04:20.0,"Client 2 data received: roll = 69.17, pitch = -6.05"
04:20.0,"Client 2: condition met"
04:20.0,Chin Up COUNTED
04:20.0,Chin Up Count: 4
04:21.0,"Client 2 data received: roll = 67.36, pitch = -6.66"
04:21.0,"Client 2: condition met"
04:22.0,"Client 2 data received: roll = 66.86, pitch = -6.47"
04:22.0,"Client 2: condition met"
04:22.6,"Client 1: angle 40 detected"
04:23.0,"Client 2 data received: roll = 65.52, pitch = -5.68"
04:23.0,"Client 2: condition met"
04:23.0,Chin Up COUNTED
04:23.0,Chin Up Count: 5
04:24.0,"Client 2 data received: roll = 67.05, pitch = -6.21"
04:24.0,"Client 2: condition met"
04:25.0,"Client 2 data received: roll = 67.16, pitch = -5.79"
04:25.0,"Client 2: condition met"
04:26.0,"Client 2 data received: roll = 66.43, pitch = -5.51"
04:26.0,"Client 2: condition met"
04:26.0,"Client 1: angle 40 detected"
04:27.0,"Client 2 data received: roll = 64.89, pitch = -6.18"
04:27.0,"Client 2: condition met"
04:27.0,Chin Up COUNTED
04:27.0,Chin Up Count: 6
04:28.0,"Client 2 data received: roll = 66.48, pitch = -6.36"
04:28.0,"Client 2: condition met"
04:29.1,"Client 1: angle 40 detected"
04:30.0,"Client 2 data received: roll = 66.58, pitch = -6.00"
04:30.0,"Client 2: condition met"
04:30.0,Chin Up COUNTED
04:30.0,Chin Up Count: 7
04:31.0,"Client 2 data received: roll = 66.49, pitch = -5.79"
04:31.0,"Client 2: condition met"
04:32.0,"Client 2 data received: roll = 65.42, pitch = -6.02"
04:32.0,"Client 2: condition met"
04:32.4,"Client 1: angle 40 detected"
04:33.0,"Client 2 data received: roll = 65.66, pitch = -6.48"
04:33.0,"Client 2: condition met"
04:33.0,Chin Up COUNTED
04:33.0,Chin Up Count: 8
04:34.0,"Client 2 data received: roll = 65.78, pitch = -5.87"
04:34.0,"Client 2: condition met"
04:35.0,"Client 2 data received: roll = 66.77, pitch = -6.00"
04:35.0,"Client 2: condition met"
04:36.0,"Client 2 data received: roll = 65.73, pitch = -5.71"
04:36.0,"Client 2: condition met"
04:36.3,"Client 1: angle 40 detected"
04:37.0,"Client 2 data received: roll = 66.23, pitch = -5.44"
04:37.0,"Client 2: condition met"
04:37.0,Chin Up COUNTED
04:37.0,Chin Up Count: 9
04:39.0,"Client 2 data received: roll = 66.69, pitch = -6.70"
04:39.0,"Client 2: condition met"
04:39.1,"Client 1: angle 40 detected"
04:40.0,"Client 2 data received: roll = 64.75, pitch = -5.56"
04:40.0,"Client 2: condition met"
04:40.0,Chin Up COUNTED
04:40.0,Chin Up Count: 10
04:41.0,"Client 2 data received: roll = 65.55, pitch = -6.19"
04:41.0,"Client 2: condition met"
04:42.0,"Client 1: angle 40 detected"
04:42.0,"Client 2 data received: roll = 64.12, pitch = -4.68"
04:42.0,"Client 2: condition met"
04:42.1,Chin Up COUNTED
04:42.1,Chin Up Count: 11
04:43.0,"Client 2 data received: roll = 66.02, pitch = -5.85"
04:43.0,"Client 2: condition met"
04:44.0,"Client 2 data received: roll = 65.60, pitch = -5.94"
04:44.0,"Client 2: condition met"
04:44.8,"Client 1: angle 40 detected"
04:45.0,"Client 2 data received: roll = 67.45, pitch = -6.00"
04:45.1,"Client 2: condition met"
04:45.1,Chin Up COUNTED
04:45.1,Chin Up Count: 12
04:46.1,"Client 2 data received: roll = 64.94, pitch = -5.64"
04:46.1,"Client 2: condition met"
04:47.1,"Client 2 data received: roll = 65.07, pitch = -5.88"
04:47.1,"Client 2: condition met"
04:47.5,"Client 1: angle 40 detected"
04:48.1,"Client 2 data received: roll = 66.73, pitch = -5.54"
04:48.1,"Client 2: condition met"
04:48.1,Chin Up COUNTED
04:48.1,Chin Up Count: 13
04:49.1,"Client 2 data received: roll = 65.93, pitch = -5.76"
04:49.1,"Client 2: condition met"
04:49.7,"Client 1: angle 40 detected"
04:50.2,"Client 2 data received: roll = 114.34, pitch = 6.21"
04:50.2,"Client 2: condition not met"
04:50.2,NOT COUNT: 1
04:51.1,"Client 2 data received: roll = 112.50, pitch = 5.23"
04:51.1,"Client 2: condition not met"
04:52.1,"Client 2 data received: roll = 55.72, pitch = -0.71"
04:52.1,"Client 2: condition not met"
04:53.1,"Client 2 data received: roll = 61.98, pitch = -2.19"
04:53.1,"Client 2: condition met"
04:53.5,"Client 1: angle 40 detected"
04:54.1,"Client 2 data received: roll = 65.40, pitch = 0.04"
04:54.1,"Client 2: condition met"
04:54.1,Chin Up COUNTED
04:54.1,Chin Up Count: 14
04:55.1,"Client 2 data received: roll = 66.91, pitch = 1.12"
04:55.1,"Client 2: condition met"
04:56.1,"Client 2 data received: roll = 67.59, pitch = 0.18"
04:56.1,"Client 2: condition met"
04:56.6,"Client 1: angle 40 detected"
04:57.1,"Client 2 data received: roll = 67.85, pitch = 0.81"
04:57.1,"Client 2: condition met"
04:57.1,Chin Up COUNTED
04:57.1,Chin Up Count: 15
04:58.1,"Client 2 data received: roll = 67.41, pitch = 0.03"
04:58.1,"Client 2: condition met"
04:59.1,"Client 2 data received: roll = 66.98, pitch = 0.21"
04:59.1,"Client 2: condition met"
04:59.5,"Client 1: angle 40 detected"
05:00.1,"Client 2 data received: roll = 66.40, pitch = 0.45"
05:00.1,"Client 2: condition met"
05:00.1,Chin Up COUNTED
05:00.1,Chin Up Count: 16
05:01.1,"Client 2 data received: roll = 67.13, pitch = 0.18"
05:01.1,"Client 2: condition met"
05:02.1,"Client 2 data received: roll = 67.15, pitch = 0.30"
05:02.1,"Client 2: condition met"
05:02.4,"Client 1: angle 40 detected"
05:04.1,"Client 2 data received: roll = 66.51, pitch = 0.53"
05:04.1,"Client 2: condition met"
05:04.1,Chin Up COUNTED
05:04.1,Chin Up Count: 17
05:05.1,"Client 2 data received: roll = 66.82, pitch = 1.40"
05:05.1,"Client 2: condition met"
05:05.2,"Client 1: angle 40 detected"
05:06.1,"Client 2 data received: roll = 66.14, pitch = 0.56"
05:06.1,"Client 2: condition met"
05:06.1,Chin Up COUNTED
05:06.1,Chin Up Count: 18
05:07.1,"Client 2 data received: roll = 67.07, pitch = 0.38"
05:07.1,"Client 2: condition met"
05:07.8,"Client 1: angle 40 detected"
05:08.1,"Client 2 data received: roll = 64.53, pitch = 0.42"
05:08.1,"Client 2: condition met"
05:08.1,Chin Up COUNTED
05:08.1,Chin Up Count: 19
05:08.8,"Waktu 1 menit telah berlalu"
05:08.8,TOTAL Chin-Up COUNTED: 19
05:08.8,TOTAL NOT COUNTED: 1
05:08.8,"Select Mode: 1 / 2"
05:08.8,"1. Pull-Up"
05:08.8,"2. Chin-Up"
05:56.1,"Mode selected: Pull-Up"
06:45.8,"Mode selected: Chin-Up"
06:59.0,"Client disconnected"
09:37.5,"Mode selected: Chin-Up"
09:53.4,"Menerima data dari BLE clients..."
10:20.6,"Client connected"
10:21.4,"Client 2 data received: roll = -2.21, pitch = -12.25"
10:21.4,"Client 2: condition not met"
10:22.4,"Client 2 data received: roll = -2.33, pitch = -12.56"
10:22.4,"Client 2: condition not met"
10:23.5,"Client 2 data received: roll = -2.47, pitch = -12.76"
10:23.5,"Client 2: condition not met"
10:24.5,"Client 2 data received: roll = -1.98, pitch = -12.20"
10:24.5,"Client 2: condition not met"
10:25.4,"Client 2 data received: roll = -2.50, pitch = -12.27"
10:25.4,"Client 2: condition not met"
10:26.5,"Client 2 data received: roll = -2.22, pitch = -12.09"
10:26.5,"Client 2: condition not met"
10:27.5,"Client 2 data received: roll = -2.33, pitch = -12.24"
10:27.5,"Client 2: condition not met"
10:29.5,"Client 2 data received: roll = -2.17, pitch = -12.27"
10:29.5,"Client 2: condition not met"
10:30.5,"Client 2 data received: roll = -2.92, pitch = -11.99"
10:30.5,"Client 2: condition not met"
10:31.5,"Client 2 data received: roll = -2.06, pitch = -12.40"
10:31.5,"Client 2: condition not met"
10:32.5,"Client 2 data received: roll = -1.92, pitch = -12.74"
10:32.5,"Client 2: condition not met"
10:33.5,"Client 2 data received: roll = -2.07, pitch = -12.31"
10:33.5,"Client 2: condition not met"
10:35.5,"Client 2 data received: roll = -2.58, pitch = -11.85"
10:35.5,"Client 2: condition not met"
10:36.5,"Client 2 data received: roll = -2.47, pitch = -12.58"
10:36.5,"Client 2: condition not met"
10:37.5,"Client 2 data received: roll = -1.98, pitch = -12.38"
10:37.5,"Client 2: condition not met"
10:38.5,"Client 2 data received: roll = -2.47, pitch = -12.00"
10:38.5,"Client 2: condition not met"
10:39.5,"Client 2 data received: roll = -2.65, pitch = -12.07"
10:39.5,"Client 2: condition not met"
10:40.5,"Client 2 data received: roll = -2.06, pitch = -11.99"
10:40.5,"Client 2: condition not met"
10:41.5,"Client 2 data received: roll = -2.08, pitch = -12.17"
10:41.5,"Client 2: condition not met"
10:42.5,"Client 2 data received: roll = -2.52, pitch = -12.40"
10:42.5,"Client 2: condition not met"
10:43.5,"Client 2 data received: roll = -2.20, pitch = -12.25"
10:43.5,"Client 2: condition not met"
10:44.5,"Client 2 data received: roll = -2.52, pitch = -12.62"
10:44.5,"Client 2: condition not met"
10:45.5,"Client 2 data received: roll = -2.21, pitch = -12.17"
10:45.5,"Client 2: condition not met"
10:46.5,"Client 2 data received: roll = -2.11, pitch = -12.08"
10:46.5,"Client 2: condition not met"
10:47.5,"Client 2 data received: roll = -2.17, pitch = -12.46"
10:47.5,"Client 2: condition not met"
10:48.5,"Client 2 data received: roll = -2.13, pitch = -12.15"
10:48.6,"Client 2: condition not met"
10:49.5,"Client 2 data received: roll = -2.46, pitch = -12.46"
10:49.5,"Client 2: condition not met"
10:50.5,"Client 2 data received: roll = -2.28, pitch = -12.46"
10:50.5,"Client 2: condition not met"
10:51.5,"Client 2 data received: roll = -2.04, pitch = -12.46"
10:51.5,"Client 2: condition not met"
10:52.6,"Client 2 data received: roll = -2.80, pitch = -12.06"
10:52.6,"Client 2: condition not met"
10:53.5,"Client 2 data received: roll = -2.20, pitch = -12.25"
10:53.5,"Client 2: condition not met"
10:53.8,"Waktu 1 menit telah berlalu"
10:53.8,TOTAL Chin-Up COUNTED: 0
10:53.8,TOTAL NOT COUNTED: 0
10:53.8,"Select Mode: 1 / 2"
10:53.8,"1. Pull-Up"
10:53.8,"2. Chin-Up"
11:12.5,"Mode selected: Chin-Up"
11:27.3,"Menerima data dari BLE clients..."
11:27.7,"Client 2 data received: roll = 67.05, pitch = -0.72"
11:27.7,"Client 2: condition met"
11:28.6,"Client 2 data received: roll = 67.57, pitch = -1.03"
11:28.6,"Client 2: condition met"
11:29.7,"Client 2 data received: roll = 68.66, pitch = -2.83"
11:29.7,"Client 2: condition met"
11:30.6,"Client 2 data received: roll = 69.05, pitch = -3.81"
11:30.6,"Client 2: condition met"
11:30.9,"Client 1: angle 40 detected"
11:31.6,"Client 2 data received: roll = 69.40, pitch = -3.35"
11:31.6,"Client 2: condition met"
11:31.6,Chin Up COUNTED
11:31.6,Chin Up Count: 1
11:32.7,"Client 2 data received: roll = 68.48, pitch = -3.49"
11:32.7,"Client 2: condition met"
11:33.4,"Client 1: angle 40 detected"
11:33.7,"Client 2 data received: roll = 68.70, pitch = -2.78"
11:33.7,"Client 2: condition met"
11:33.7,Chin Up COUNTED
11:33.7,Chin Up Count: 2
11:34.7,"Client 2 data received: roll = 69.93, pitch = -3.51"
11:34.7,"Client 2: condition met"
11:35.7,"Client 2 data received: roll = 69.01, pitch = -3.37"
11:35.7,"Client 2: condition met"
11:36.0,"Client 1: angle 40 detected"
11:36.7,"Client 2 data received: roll = 69.82, pitch = -4.30"
11:36.7,"Client 2: condition met"
11:36.7,Chin Up COUNTED
11:36.7,Chin Up Count: 3
11:37.7,"Client 2 data received: roll = 69.41, pitch = -3.10"
11:37.7,"Client 2: condition met"
11:38.7,"Client 2 data received: roll = 69.37, pitch = -3.06"
11:38.7,"Client 2: condition met"
11:38.8,"Client 1: angle 40 detected"
11:39.7,"Client 2 data received: roll = 69.93, pitch = -4.00"
11:39.7,"Client 2: condition met"
11:39.7,Chin Up COUNTED
11:39.7,Chin Up Count: 4
11:40.7,"Client 2 data received: roll = 69.66, pitch = -3.71"
11:40.7,"Client 2: condition met"
11:41.7,"Client 2 data received: roll = 69.93, pitch = -2.17"
11:41.7,"Client 2: condition met"
11:41.7,"Client 1: angle 40 detected"
11:42.7,"Client 2 data received: roll = 70.27, pitch = -2.99"
11:42.7,"Client 2: condition met"
11:42.7,Chin Up COUNTED
11:42.7,Chin Up Count: 5
11:43.7,"Client 2 data received: roll = 69.81, pitch = -3.84"
11:43.7,"Client 2: condition met"
11:44.7,"Client 2 data received: roll = 69.01, pitch = -3.40"
11:44.7,"Client 2: condition met"
11:45.3,"Client 1: angle 40 detected"
11:45.7,"Client 2 data received: roll = 67.76, pitch = -3.04"
11:45.7,"Client 2: condition met"
11:45.7,Chin Up COUNTED
11:45.7,Chin Up Count: 6
11:46.7,"Client 2 data received: roll = 68.88, pitch = -4.12"
11:46.7,"Client 2: condition met"
11:47.7,"Client 2 data received: roll = 68.68, pitch = -4.41"
11:47.7,"Client 2: condition met"
11:47.8,"Client 1: angle 40 detected"
11:48.7,"Client 2 data received: roll = 69.69, pitch = -4.05"
11:48.7,"Client 2: condition met"
11:48.7,Chin Up COUNTED
11:48.7,Chin Up Count: 7
11:49.7,"Client 2 data received: roll = 69.09, pitch = -2.91"
11:49.7,"Client 2: condition met"
11:50.7,"Client 2 data received: roll = 69.01, pitch = -2.76"
11:50.7,"Client 2: condition met"
11:50.8,"Client 1: angle 40 detected"
11:51.7,"Client 2 data received: roll = 69.37, pitch = -3.49"
11:51.7,"Client 2: condition met"
11:51.7,Chin Up COUNTED
11:51.7,Chin Up Count: 8
11:52.7,"Client 2 data received: roll = 69.12, pitch = -2.90"
11:52.7,"Client 2: condition met"
11:53.7,"Client 2 data received: roll = 69.21, pitch = -3.35"
11:53.7,"Client 2: condition met"
11:54.2,"Client 1: angle 40 detected"
11:54.7,"Client 2 data received: roll = 70.21, pitch = -2.71"
11:54.7,"Client 2: condition met"
11:54.7,Chin Up COUNTED
11:54.7,Chin Up Count: 9
11:55.7,"Client 2 data received: roll = 68.61, pitch = -3.05"
11:55.7,"Client 2: condition met"
11:56.7,"Client 2 data received: roll = 69.13, pitch = -3.30"
11:56.7,"Client 2: condition met"
11:57.0,"Client 1: angle 40 detected"
11:57.7,"Client 2 data received: roll = 68.00, pitch = -2.73"
11:57.7,"Client 2: condition met"
11:57.7,Chin Up COUNTED
11:57.7,Chin Up Count: 10
11:58.8,"Client 2 data received: roll = 69.46, pitch = -3.71"
11:58.8,"Client 2: condition met"
11:59.7,"Client 2 data received: roll = 70.92, pitch = -3.95"
11:59.7,"Client 2: condition met"
11:59.8,"Client 1: angle 40 detected"
12:00.7,"Client 2 data received: roll = 70.69, pitch = -3.20"
12:00.7,"Client 2: condition met"
12:00.8,Chin Up COUNTED
12:00.8,Chin Up Count: 11
12:01.7,"Client 2 data received: roll = 69.48, pitch = -3.73"
12:01.7,"Client 2: condition met"
12:02.6,"Client 1: angle 40 detected"
12:02.7,"Client 2 data received: roll = 69.89, pitch = -3.26"
12:02.7,"Client 2: condition met"
12:02.7,Chin Up COUNTED
12:02.7,Chin Up Count: 12
12:03.8,"Client 2 data received: roll = 69.80, pitch = -3.70"
12:03.8,"Client 2: condition met"
12:05.4,"Client 1: angle 40 detected"
12:05.8,"Client 2 data received: roll = 66.87, pitch = -3.45"
12:05.8,"Client 2: condition met"
12:05.8,Chin Up COUNTED
12:05.8,Chin Up Count: 13
12:06.8,"Client 2 data received: roll = 69.04, pitch = -2.74"
12:06.8,"Client 2: condition met"
12:07.6,"Client 1: angle 40 detected"
12:07.8,"Client 2 data received: roll = 99.57, pitch = 5.57"
12:07.8,"Client 2: condition not met"
12:07.8,NOT COUNT: 1
12:08.8,"Client 2 data received: roll = 96.60, pitch = 5.69"
12:08.8,"Client 2: condition not met"
12:09.8,"Client 2 data received: roll = 58.23, pitch = 5.34"
12:09.8,"Client 2: condition not met"
12:10.8,"Client 2 data received: roll = 62.26, pitch = -0.12"
12:10.8,"Client 2: condition met"
12:11.5,"Client 1: angle 40 detected"
12:11.8,"Client 2 data received: roll = 65.02, pitch = 0.10"
12:11.8,"Client 2: condition met"
12:11.8,Chin Up COUNTED
12:11.8,Chin Up Count: 14
12:12.8,"Client 2 data received: roll = 64.52, pitch = -0.35"
12:12.8,"Client 2: condition met"
12:13.8,"Client 2 data received: roll = 64.43, pitch = -0.70"
12:13.8,"Client 2: condition met"
12:14.8,"Client 2 data received: roll = 63.00, pitch = -1.81"
12:14.8,"Client 2: condition met"
12:14.9,"Client 1: angle 40 detected"
12:15.8,"Client 2 data received: roll = 64.96, pitch = -0.20"
12:15.8,"Client 2: condition met"
12:15.8,Chin Up COUNTED
12:15.8,Chin Up Count: 15
12:16.8,"Client 2 data received: roll = 64.19, pitch = -1.88"
12:16.8,"Client 2: condition met"
12:17.7,"Client 1: angle 40 detected"
12:17.8,"Client 2 data received: roll = 62.56, pitch = -2.19"
12:17.8,"Client 2: condition met"
12:17.8,Chin Up COUNTED
12:17.8,Chin Up Count: 16
